Dir,Plot,Tmp,Wtr,Treat,Quad,Biocrust,Rep,File
Contact_021422,B1,L,C,LC,Q3,DCY,1,0
Contact_021422,B1,L,C,LC,Q3,DCY,2,1
Contact_021422,B1,L,C,LC,Q3,DCY,3,2
Contact_021422,B1,L,C,LC,Q3,LCN,1,3
Contact_021422,B1,L,C,LC,Q3,LCN,2,4
Contact_021422,B1,L,C,LC,Q3,LCN,3,5
Contact_021422,B1,L,C,LC,Q3,MSS,1,6
Contact_021422,B1,L,C,LC,Q3,MSS,2,7
Contact_021422,B1,L,C,LC,Q3,MSS,3,8
Contact_021422,B1,L,C,LC,Q3,LCY,1,9
Contact_021422,B1,L,C,LC,Q3,LCY,2,10
Contact_021422,B1,L,C,LC,Q3,LCY,3,11
Contact_021422,B1,L,W,LW,Q4,LCN,1,12
Contact_021422,B1,L,W,LW,Q4,LCN,2,13
Contact_021422,B1,L,W,LW,Q4,LCN,3,14
Contact_021422,B1,L,W,LW,Q4,DCY,1,15
Contact_021422,B1,L,W,LW,Q4,DCY,2,16
Contact_021422,B1,L,W,LW,Q4,DCY,3,17
Contact_021422,B1,L,W,LW,Q4,MSS,1,18
Contact_021422,B1,L,W,LW,Q4,MSS,2,19
Contact_021422,B1,L,W,LW,Q4,MSS,3,20
Contact_021422,B1,L,W,LW,Q4,LCY,1,21
Contact_021422,B1,L,W,LW,Q4,LCY,2,22
Contact_021422,B1,L,W,LW,Q4,LCY,3,23
Contact_021422,B1,L,W,LW,Q4,BRT,1,24
Contact_021422,B1,L,W,LW,Q4,BRT,2,25
Contact_021422,B1,L,W,LW,Q4,BRT,3,26
Contact_021522,B1,C,C,CC,Q3,LCY,1,0
Contact_021522,B1,C,C,CC,Q3,LCY,2,1
Contact_021522,B1,C,C,CC,Q3,LCY,3,2
Contact_021522,B1,C,C,CC,Q3,DCY,1,3
Contact_021522,B1,C,C,CC,Q3,DCY,2,4
Contact_021522,B1,C,C,CC,Q3,DCY,3,5
Contact_021522,B1,C,C,CC,Q3,LCN,1,6
Contact_021522,B1,C,C,CC,Q3,LCN,2,7
Contact_021522,B1,C,C,CC,Q3,LCN,3,8
Contact_021522,B1,C,C,CC,Q3,MSS,1,9
Contact_021522,B1,C,C,CC,Q3,MSS,2,10
Contact_021522,B1,C,C,CC,Q3,MSS,3,11
Contact_021522,B1,C,W,CW,Q3,LCY,1,12
Contact_021522,B1,C,W,CW,Q3,LCY,2,13
Contact_021522,B1,C,W,CW,Q3,LCY,3,14
Contact_021522,B1,C,W,CW,Q3,DCY,1,15
Contact_021522,B1,C,W,CW,Q3,DCY,2,16
Contact_021522,B1,C,W,CW,Q3,DCY,3,17
Contact_021522,B1,C,W,CW,Q3,LCN,1,19
Contact_021522,B1,C,W,CW,Q3,LCN,2,20
Contact_021522,B1,C,W,CW,Q3,LCN,3,21
Contact_021522,B1,C,W,CW,Q3,MSS,1,22
Contact_021522,B1,C,W,CW,Q3,MSS,2,23
Contact_021522,B1,C,W,CW,Q3,MSS,3,24
Contact_021522,B1,C,W,CW,Q3,BRT,1,25
Contact_021522,B1,C,W,CW,Q3,BRT,2,26
Contact_021522,B1,C,W,CW,Q3,BRT,3,27
Contact_021522,B2,C,C,CC,Q3,LCY,1,28
Contact_021522,B2,C,C,CC,Q3,LCY,2,29
Contact_021522,B2,C,C,CC,Q3,LCY,3,30
Contact_021522,B2,C,C,CC,Q3,DCY,1,31
Contact_021522,B2,C,C,CC,Q3,DCY,2,32
Contact_021522,B2,C,C,CC,Q3,DCY,3,33
Contact_021522,B2,C,C,CC,Q3,LCN,1,34
Contact_021522,B2,C,C,CC,Q3,LCN,2,35
Contact_021522,B2,C,C,CC,Q3,LCN,3,36
Contact_021522,B2,C,C,CC,Q3,MSS,1,37
Contact_021522,B2,C,C,CC,Q3,MSS,2,38
Contact_021522,B2,C,C,CC,Q3,MSS,3,39
Contact_021522,B2,L,C,LC,Q3,LCY,1,40
Contact_021522,B2,L,C,LC,Q3,LCY,2,41
Contact_021522,B2,L,C,LC,Q3,LCY,3,42
Contact_021522,B2,L,C,LC,Q3,DCY,1,43
Contact_021522,B2,L,C,LC,Q3,DCY,2,44
Contact_021522,B2,L,C,LC,Q3,DCY,3,45
Contact_021522,B2,L,C,LC,Q3,LCN,1,46
Contact_021522,B2,L,C,LC,Q3,LCN,2,47
Contact_021522,B2,L,C,LC,Q3,LCN,3,48
Contact_021522,B2,L,C,LC,Q3,MSS,1,49
Contact_021522,B2,L,C,LC,Q3,MSS,2,50
Contact_021522,B2,L,C,LC,Q3,MSS,3,51
Contact_021522,B2,L,C,LC,Q3,BRT,1,52
Contact_021522,B2,L,C,LC,Q3,BRT,2,53
Contact_021522,B2,L,C,LC,Q3,BRT,3,54
Contact_021522,B2,L,W,LW,Q4,LCY,1,55
Contact_021522,B2,L,W,LW,Q4,LCY,2,56
Contact_021522,B2,L,W,LW,Q4,LCY,3,57
Contact_021522,B2,L,W,LW,Q4,DCY,1,58
Contact_021522,B2,L,W,LW,Q4,DCY,2,59
Contact_021522,B2,L,W,LW,Q4,DCY,3,60
Contact_021522,B2,L,W,LW,Q4,LCN,1,61
Contact_021522,B2,L,W,LW,Q4,LCN,2,62
Contact_021522,B2,L,W,LW,Q4,LCN,3,63
Contact_021522,B2,L,W,LW,Q4,MSS,1,64
Contact_021522,B2,L,W,LW,Q4,MSS,2,65
Contact_021522,B2,L,W,LW,Q4,MSS,3,66
Contact_021522,B2,L,W,LW,Q4,LTR,1,67
Contact_021522,B2,L,W,LW,Q4,LTR,2,68
Contact_021522,B2,L,W,LW,Q4,LTR,3,69
Contact_021522,B2,L,W,LW,Q4,SOIL,1,70
Contact_021522,B2,L,W,LW,Q4,SOIL,2,71
Contact_021522,B2,L,W,LW,Q4,SOIL,3,72
