Dir,Plot,Tmp,Wtr,Treat,Rep,Loc,File
Plot_1meter,B1,L,C,LC,1,1,0
Plot_1meter,B1,L,C,LC,2,1,1
Plot_1meter,B1,L,C,LC,3,1,2
Plot_1meter,B1,L,C,LC,1,2,3
Plot_1meter,B1,L,C,LC,2,2,4
Plot_1meter,B1,L,C,LC,3,2,5
Plot_1meter,B1,L,C,LC,1,3,6
Plot_1meter,B1,L,C,LC,2,3,7
Plot_1meter,B1,L,C,LC,3,3,8
Plot_1meter,B1,L,C,LC,1,4,9
Plot_1meter,B1,L,C,LC,2,4,10
Plot_1meter,B1,L,C,LC,3,4,11
Plot_1meter,B1,L,C,LC,1,5,12
Plot_1meter,B1,L,C,LC,2,5,13
Plot_1meter,B1,L,C,LC,3,5,14
Plot_1meter,B1,L,C,LC,1,6,15
Plot_1meter,B1,L,C,LC,2,6,16
Plot_1meter,B1,L,C,LC,3,6,17
Plot_1meter,B1,L,C,LC,1,7,18
Plot_1meter,B1,L,C,LC,2,7,19
Plot_1meter,B1,L,C,LC,3,7,20
Plot_1meter,B1,L,C,LC,1,8,21
Plot_1meter,B1,L,C,LC,2,8,22
Plot_1meter,B1,L,C,LC,3,8,23
Plot_1meter,B1,L,C,LC,1,9,24
Plot_1meter,B1,L,C,LC,2,9,25
Plot_1meter,B1,L,C,LC,3,9,26
Plot_1meter,B1,L,C,LC,1,10,27
Plot_1meter,B1,L,C,LC,2,10,28
Plot_1meter,B1,L,C,LC,3,10,29
Plot_1meter,B1,L,C,LC,1,11,30
Plot_1meter,B1,L,C,LC,2,11,31
Plot_1meter,B1,L,C,LC,3,11,32
Plot_1meter,B1,L,C,LC,1,12,33
Plot_1meter,B1,L,C,LC,2,12,34
Plot_1meter,B1,L,C,LC,3,12,35
Plot_1meter,B1,L,C,LC,1,13,36
Plot_1meter,B1,L,C,LC,2,13,37
Plot_1meter,B1,L,C,LC,3,13,38
Plot_1meter,B1,L,C,LC,1,14,39
Plot_1meter,B1,L,C,LC,2,14,40
Plot_1meter,B1,L,C,LC,3,14,41
Plot_1meter,B1,L,C,LC,1,15,42
Plot_1meter,B1,L,C,LC,2,15,43
Plot_1meter,B1,L,C,LC,3,15,44
Plot_1meter,B1,L,W,LW,1,1,90
Plot_1meter,B1,L,W,LW,2,1,91
Plot_1meter,B1,L,W,LW,3,1,92
Plot_1meter,B1,L,W,LW,1,2,93
Plot_1meter,B1,L,W,LW,2,2,94
Plot_1meter,B1,L,W,LW,3,2,95
Plot_1meter,B1,L,W,LW,1,3,96
Plot_1meter,B1,L,W,LW,2,3,97
Plot_1meter,B1,L,W,LW,3,3,98
Plot_1meter,B1,L,W,LW,1,4,99
Plot_1meter,B1,L,W,LW,2,4,100
