Dir,Plot,Tmp,Wtr,Treat,Quad,Biocrust,Rep,File
Contact_021422,B1,L,C,LC,Q3,DCY,1,0
Contact_021422,B1,L,C,LC,Q3,DCY,2,1
Contact_021422,B1,L,C,LC,Q3,DCY,3,2
Contact_021422,B1,L,C,LC,Q3,LCN,1,3
Contact_021422,B1,L,C,LC,Q3,LCN,2,4
Contact_021422,B1,L,C,LC,Q3,LCN,3,5
Contact_021422,B1,L,C,LC,Q3,MSS,1,6
Contact_021422,B1,L,C,LC,Q3,MSS,2,7
Contact_021422,B1,L,C,LC,Q3,MSS,3,8
Contact_021422,B1,L,C,LC,Q3,LCY,1,9
Contact_021422,B1,L,C,LC,Q3,LCY,2,10
Contact_021422,B1,L,C,LC,Q3,LCY,3,11
Contact_021422,B1,L,W,LW,Q4,LCN,1,12
Contact_021422,B1,L,W,LW,Q4,LCN,2,13
Contact_021422,B1,L,W,LW,Q4,LCN,3,14
Contact_021422,B1,L,W,LW,Q4,DCY,1,15
Contact_021422,B1,L,W,LW,Q4,DCY,2,16
Contact_021422,B1,L,W,LW,Q4,DCY,3,17
Contact_021422,B1,L,W,LW,Q4,MSS,1,18
Contact_021422,B1,L,W,LW,Q4,MSS,2,19
Contact_021422,B1,L,W,LW,Q4,MSS,3,20
Contact_021422,B1,L,W,LW,Q4,LCY,1,21
Contact_021422,B1,L,W,LW,Q4,LCY,2,22
Contact_021422,B1,L,W,LW,Q4,LCY,3,23
Contact_021422,B1,L,W,LW,Q4,BRT,1,24
Contact_021422,B1,L,W,LW,Q4,BRT,2,25
Contact_021422,B1,L,W,LW,Q4,BRT,3,26
Contact_021522,B1,C,C,CC,Q3,LCY,1,0
Contact_021522,B1,C,C,CC,Q3,LCY,2,1
Contact_021522,B1,C,C,CC,Q3,LCY,3,2
Contact_021522,B1,C,C,CC,Q3,DCY,1,3
Contact_021522,B1,C,C,CC,Q3,DCY,2,4
Contact_021522,B1,C,C,CC,Q3,DCY,3,5
Contact_021522,B1,C,C,CC,Q3,LCN,1,6
Contact_021522,B1,C,C,CC,Q3,LCN,2,7
Contact_021522,B1,C,C,CC,Q3,LCN,3,8
Contact_021522,B1,C,C,CC,Q3,MSS,1,9
Contact_021522,B1,C,C,CC,Q3,MSS,2,10
Contact_021522,B1,C,C,CC,Q3,MSS,3,11
Contact_021522,B1,C,W,CW,Q3,LCY,1,12
Contact_021522,B1,C,W,CW,Q3,LCY,2,13
Contact_021522,B1,C,W,CW,Q3,LCY,3,14
Contact_021522,B1,C,W,CW,Q3,DCY,1,15
Contact_021522,B1,C,W,CW,Q3,DCY,2,16
Contact_021522,B1,C,W,CW,Q3,DCY,3,17
Contact_021522,B1,C,W,CW,Q3,LCN,1,19
Contact_021522,B1,C,W,CW,Q3,LCN,2,20
Contact_021522,B1,C,W,CW,Q3,LCN,3,21
Contact_021522,B1,C,W,CW,Q3,MSS,1,22
Contact_021522,B1,C,W,CW,Q3,MSS,2,23
Contact_021522,B1,C,W,CW,Q3,MSS,3,24
Contact_021522,B1,C,W,CW,Q3,BRT,1,25
Contact_021522,B1,C,W,CW,Q3,BRT,2,26
Contact_021522,B1,C,W,CW,Q3,BRT,3,27
