"","Plot","Bare Ground_mean","Bare Ground_SE","Darkly Pigmented Cyanobacteria_mean","Darkly Pigmented Cyanobacteria_SE","Lichen_mean","Lichen_SE","Lightly Pigmented Cyanobacteria_mean","Lightly Pigmented Cyanobacteria_SE","N-Fixing Lichen_mean","N-Fixing Lichen_SE","Plant Base_mean","Plant Base_SE","Plant Litter_mean","Plant Litter_SE","Rock_mean","Rock_SE","Short Moss_mean","Short Moss_SE","Tall Moss_mean","Tall Moss_SE"
"1","B1C",1.25,1.25,5,2.88675134594813,0,0,13.75,6.88446318410763,1.25,0.652791209833867,3.75,1.25,46.25,6.88446318410763,0,0,0,0,26.25,10.6800046816469
"2","B1L",0,0,2.5,1.44337567297406,0,0,31.25,8.98494110535326,0.833333333333333,0.561833218719368,2.5,2.5,52.5,6.29152869605896,0.625,0.625,0,0,6.25,4.73242362150023
"3","B1LW",0,0,3.75,2.39356776939085,0,0,50,15.4110350074224,0,0,0,0,45,14.2886901662352,0,0,0,0,1.25,1.25
"4","B1W",0,0,32.5,6.61437827766148,0.416666666666667,0.416666666666667,22.5,6.61437827766148,4.58333333333333,1.68081119184347,5,2.88675134594813,20,2.04124145231932,0.3125,0.3125,0,0,3.75,2.39356776939085
"5","B2C",0,0,7.5,2.5,0,0,18.75,14.1972708645007,0,0,0,0,57.5,20.4633819296811,0,0,0,0,16.25,6.57488909919146
"6","B2L",0,0,13.75,7.73923984208613,0.416666666666667,0.416666666666667,35,7.07106781186548,0,0,10,10,27.5,11.2731243820572,2.5,0.912870929175277,0,0,2.5,1.44337567297406
"7","B2LW",0,0,5,2.88675134594813,0,0,38.75,15.3263117981246,0,0,12.5,12.5,31.25,6.57488909919146,0.625,0.625,0,0,10,10
"8","B2W",1.25,1.25,22.5,7.5,0,0,22.5,8.53912563829967,2.5,0.973123680201904,2.5,1.44337567297406,28.75,8.26009483399959,0,0,0,0,15,5.40061724867322
"9","B3C",6.25,2.39356776939085,2.5,1.44337567297406,0,0,5,5,0.416666666666667,0.416666666666667,5,5,52.5,20.8666400425815,4.6875,4.36531666472586,0,0,8.75,4.26956281914983
"10","B3L",0,0,3.75,3.75,0,0,35,10.2062072615966,0.416666666666667,0.416666666666667,8.75,8.75,42.5,18.3143841465299,1.5625,1.09151557478581,0,0,2.5,1.44337567297406
