"","Plot","Block","Tx","Stake #","Bare Ground","Darkly Pigmented Cyanobacteria","Lichen","Lightly Pigmented Cyanobacteria","N-Fixing Lichen","Plant Base","Plant Litter","Rock","Short Moss","Tall Moss","frame_total"
"1","B",1,"C",5,5,0,0,20,10,5,60,0,0,0,100
"2","B",1,"C",6,0,10,0,30,0,0,40,0,0,20,100
"3","B",1,"C",7,0,10,0,5,0,5,30,0,0,50,100
"4","B",1,"C",8,0,0,0,0,5,5,55,0,0,35,100
"5","B",1,"L",5,0,0,0,40,0,10,50,0,0,0,100
"6","B",1,"L",6,0,5,0,35,10,0,50,0,0,0,100
"7","B",1,"L",7,0,0,0,45,0,0,40,10,0,5,100
"8","B",1,"L",8,0,5,0,5,0,0,70,0,0,20,100
"9","B",1,"LW",5,0,0,0,15,0,0,80,0,0,5,100
"10","B",1,"LW",6,0,0,0,90,0,0,10,0,0,0,100
"11","B",1,"LW",7,0,10,0,45,0,0,45,0,0,0,100
"12","B",1,"LW",8,0,5,0,50,0,0,45,0,0,0,100
"13","B",1,"W",5,0,35,0,30,0,10,20,0,0,5,100
"14","B",1,"W",6,0,20,5,20,30,0,25,0,0,0,100
"15","B",1,"W",7,0,50,0,5,15,10,15,5,0,0,100
"16","B",1,"W",8,0,25,0,35,10,0,20,0,0,10,100
"17","B",2,"C",5,0,5,0,0,0,0,90,0,0,5,100
"18","B",2,"C",6,0,15,0,15,0,0,45,0,0,25,100
"19","B",2,"C",7,0,5,0,60,0,0,5,0,0,30,100
"20","B",2,"C",8,0,5,0,0,0,0,90,0,0,5,100
"21","B",2,"L",5,0,15,5,35,0,0,30,10,0,5,100
"22","B",2,"L",6,0,0,0,55,0,40,0,5,0,0,100
"23","B",2,"L",7,0,35,0,25,0,0,25,15,0,0,100
"24","B",2,"L",8,0,5,0,25,0,0,55,10,0,5,100
"25","B",2,"LW",5,0,10,0,70,0,0,20,0,0,0,100
"26","B",2,"LW",6,0,0,0,60,0,0,30,10,0,0,100
"27","B",2,"LW",7,0,10,0,15,0,50,25,0,0,0,100
