"","Plot","Block","Treatment","Quad","total","CoverID","Hits","PctCover","FG","FG2"
"1","B","1","C","1",178,"ACHY",7,3.93258426966292,"Perennial_Grass","Plant"
"2","B","1","C","1",178,"ANBR",0,0,"Annual_Forb","Plant"
"3","B","1","C","1",178,"ASAM",0,0,"Annual_Forb","Plant"
"4","B","1","C","1",178,"Bromus",23,12.9213483146067,"Annual_Grass","Plant"
"5","B","1","C","1",178,"CHER",0,0,"Annual_Forb","Plant"
"6","B","1","C","1",178,"CYAC",0,0,"Annual_Forb","Plant"
"7","B","1","C","1",178,"DEAN",0,0,"Annual_Forb","Plant"
"8","B","1","C","1",178,"DEPI",1,0.561797752808989,"Annual_Forb","Plant"
"9","B","1","C","1",178,"Dark",9,5.0561797752809,"DkCy","Biocrust"
"10","B","1","C","1",178,"ENFR",0,0,"Annual_Forb","Plant"
"11","B","1","C","1",178,"EPTO",0,0,"Shrub","Plant"
"12","B","1","C","1",178,"ERIN",0,0,"Annual_Forb","Plant"
"13","B","1","C","1",178,"GAPI",0,0,"Annual_Forb","Plant"
"14","B","1","C","1",178,"GIIN",0,0,"Annual_Forb","Plant"
"15","B","1","C","1",178,"GUSA",10,5.61797752808989,"Shrub","Plant"
"16","B","1","C","1",178,"HIJA",7,3.93258426966292,"Perennial_Grass","Plant"
"17","B","1","C","1",178,"LYGR",0,0,"Annual_Forb","Plant"
"18","B","1","C","1",178,"Lichen",19,10.6741573033708,"Lichen","Biocrust"
"19","B","1","C","1",178,"Light",17,9.55056179775281,"LtCy","Biocrust"
"20","B","1","C","1",178,"Litter",65,36.5168539325843,"Litter","Abiotic_Cover"
"21","B","1","C","1",178,"MAAF",0,0,"Annual_Forb","Plant"
"22","B","1","C","1",178,"MACA",0,0,"Annual_Forb","Plant"
"23","B","1","C","1",178,"Moss",14,7.86516853932584,"Moss","Biocrust"
"24","B","1","C","1",178,"OECA",0,0,"Annual_Forb","Plant"
"25","B","1","C","1",178,"OPUNT",0,0,"Cactus","Plant"
"26","B","1","C","1",178,"PlantBase",6,3.37078651685393,"Plant_Base","Plant"
"27","B","1","C","1",178,"SCWH",0,0,"Cactus","Plant"
"28","B","1","C","1",178,"STCO",0,0,"Perennial_Grass","Plant"
"29","B","1","C","1",178,"TILA",0,0,"Annual_Forb","Plant"
"30","B","1","C","1",178,"Bare",0,0,"Bare_Ground","Abiotic_Cover"
"31","B","1","C","1",178,"Chamber",0,0,"Chamber","Abiotic_Cover"
"32","B","1","C","1",178,"Rock",0,0,"Rock","Abiotic_Cover"
"33","B","1","C","1",178,"ATCO",0,0,"Shrub","Plant"
"34","B","1","C","2",150,"ACHY",0,0,"Perennial_Grass","Plant"
"35","B","1","C","2",150,"ANBR",0,0,"Annual_Forb","Plant"
"36","B","1","C","2",150,"ASAM",0,0,"Annual_Forb","Plant"
"37","B","1","C","2",150,"Bromus",25,16.6666666666667,"Annual_Grass","Plant"
"38","B","1","C","2",150,"CHER",0,0,"Annual_Forb","Plant"
"39","B","1","C","2",150,"CYAC",0,0,"Annual_Forb","Plant"
"40","B","1","C","2",150,"DEAN",0,0,"Annual_Forb","Plant"
"41","B","1","C","2",150,"DEPI",0,0,"Annual_Forb","Plant"
"42","B","1","C","2",150,"Dark",3,2,"DkCy","Biocrust"
"43","B","1","C","2",150,"ENFR",0,0,"Annual_Forb","Plant"
"44","B","1","C","2",150,"EPTO",0,0,"Shrub","Plant"
"45","B","1","C","2",150,"ERIN",0,0,"Annual_Forb","Plant"
"46","B","1","C","2",150,"GAPI",0,0,"Annual_Forb","Plant"
"47","B","1","C","2",150,"GIIN",0,0,"Annual_Forb","Plant"
"48","B","1","C","2",150,"GUSA",4,2.66666666666667,"Shrub","Plant"
"49","B","1","C","2",150,"HIJA",3,2,"Perennial_Grass","Plant"
"50","B","1","C","2",150,"LYGR",0,0,"Annual_Forb","Plant"
"51","B","1","C","2",150,"Lichen",15,10,"Lichen","Biocrust"
"52","B","1","C","2",150,"Light",23,15.3333333333333,"LtCy","Biocrust"
"53","B","1","C","2",150,"Litter",70,46.6666666666667,"Litter","Abiotic_Cover"
"54","B","1","C","2",150,"MAAF",0,0,"Annual_Forb","Plant"
"55","B","1","C","2",150,"MACA",0,0,"Annual_Forb","Plant"
"56","B","1","C","2",150,"Moss",5,3.33333333333333,"Moss","Biocrust"
"57","B","1","C","2",150,"OECA",0,0,"Annual_Forb","Plant"
"58","B","1","C","2",150,"OPUNT",0,0,"Cactus","Plant"
"59","B","1","C","2",150,"PlantBase",2,1.33333333333333,"Plant_Base","Plant"
"60","B","1","C","2",150,"SCWH",0,0,"Cactus","Plant"
"61","B","1","C","2",150,"STCO",0,0,"Perennial_Grass","Plant"
"62","B","1","C","2",150,"TILA",0,0,"Annual_Forb","Plant"
"63","B","1","C","2",150,"Bare",0,0,"Bare_Ground","Abiotic_Cover"
"64","B","1","C","2",150,"Chamber",0,0,"Chamber","Abiotic_Cover"
"65","B","1","C","2",150,"Rock",0,0,"Rock","Abiotic_Cover"
"66","B","1","C","2",150,"ATCO",0,0,"Shrub","Plant"
"67","B","1","C","3",169,"ACHY",16,9.46745562130178,"Perennial_Grass","Plant"
"68","B","1","C","3",169,"ANBR",0,0,"Annual_Forb","Plant"
"69","B","1","C","3",169,"ASAM",0,0,"Annual_Forb","Plant"
"70","B","1","C","3",169,"Bromus",10,5.91715976331361,"Annual_Grass","Plant"
"71","B","1","C","3",169,"CHER",0,0,"Annual_Forb","Plant"
"72","B","1","C","3",169,"CYAC",0,0,"Annual_Forb","Plant"
"73","B","1","C","3",169,"DEAN",0,0,"Annual_Forb","Plant"
"74","B","1","C","3",169,"DEPI",0,0,"Annual_Forb","Plant"
"75","B","1","C","3",169,"Dark",9,5.32544378698225,"DkCy","Biocrust"
"76","B","1","C","3",169,"ENFR",0,0,"Annual_Forb","Plant"
"77","B","1","C","3",169,"EPTO",0,0,"Shrub","Plant"
"78","B","1","C","3",169,"ERIN",0,0,"Annual_Forb","Plant"
"79","B","1","C","3",169,"GAPI",0,0,"Annual_Forb","Plant"
"80","B","1","C","3",169,"GIIN",0,0,"Annual_Forb","Plant"
"81","B","1","C","3",169,"GUSA",3,1.77514792899408,"Shrub","Plant"
"82","B","1","C","3",169,"HIJA",2,1.18343195266272,"Perennial_Grass","Plant"
"83","B","1","C","3",169,"LYGR",0,0,"Annual_Forb","Plant"
"84","B","1","C","3",169,"Lichen",22,13.0177514792899,"Lichen","Biocrust"
"85","B","1","C","3",169,"Light",29,17.1597633136095,"LtCy","Biocrust"
"86","B","1","C","3",169,"Litter",51,30.1775147928994,"Litter","Abiotic_Cover"
"87","B","1","C","3",169,"MAAF",0,0,"Annual_Forb","Plant"
"88","B","1","C","3",169,"MACA",0,0,"Annual_Forb","Plant"
"89","B","1","C","3",169,"Moss",14,8.28402366863905,"Moss","Biocrust"
"90","B","1","C","3",169,"OECA",0,0,"Annual_Forb","Plant"
