"","Plot","Block","Treatment","Quad","total","CoverID","Hits","PctCover","FG","FG2"
"1","B","1","C","1",168,"ANBR",0,0,"Annual_Forb","Plant"
"2","B","1","C","1",168,"ASAM",0,0,"Annual_Forb","Plant"
"3","B","1","C","1",168,"Bromus",60,35.7142857142857,"Annual_Grass","Plant"
"4","B","1","C","1",168,"CHER",0,0,"Annual_Forb","Plant"
"5","B","1","C","1",168,"CRYPT",0,0,"Annual_Forb","Plant"
"6","B","1","C","1",168,"CYAC",1,0.595238095238095,"Annual_Forb","Plant"
"7","B","1","C","1",168,"DEAN",0,0,"Annual_Forb","Plant"
"8","B","1","C","1",168,"DEPI",0,0,"Annual_Forb","Plant"
"9","B","1","C","1",168,"Dark",7,4.16666666666667,"DkCy","Biocrust"
"10","B","1","C","1",168,"ENFR",0,0,"Annual_Forb","Plant"
"11","B","1","C","1",168,"EPHED",0,0,"Shrub","Plant"
"12","B","1","C","1",168,"EPTO",0,0,"Shrub","Plant"
"13","B","1","C","1",168,"EPVI",0,0,"Shrub","Plant"
"14","B","1","C","1",168,"ERIN",0,0,"Annual_Forb","Plant"
"15","B","1","C","1",168,"FEOC",0,0,"Annual_Grass","Plant"
"16","B","1","C","1",168,"GAPI",1,0.595238095238095,"Annual_Forb","Plant"
"17","B","1","C","1",168,"GIIN",0,0,"Annual_Forb","Plant"
"18","B","1","C","1",168,"GUSA",4,2.38095238095238,"Shrub","Plant"
"19","B","1","C","1",168,"HECO",0,0,"Perennial_Grass","Plant"
"20","B","1","C","1",168,"IPPO",0,0,"Annual_Forb","Plant"
"21","B","1","C","1",168,"KRLA",0,0,"Shrub","Plant"
"22","B","1","C","1",168,"LEMO",0,0,"Annual_Forb","Plant"
"23","B","1","C","1",168,"LEOC",0,0,"Annual_Forb","Plant"
"24","B","1","C","1",168,"LYGR",0,0,"Annual_Forb","Plant"
"25","B","1","C","1",168,"Lichen",3,1.78571428571429,"Lichen","Biocrust"
"26","B","1","C","1",168,"Light",15,8.92857142857143,"LtCy","Biocrust"
"27","B","1","C","1",168,"Litter",45,26.7857142857143,"Litter","Abiotic_Cover"
"28","B","1","C","1",168,"MAAF",0,0,"Annual_Forb","Plant"
"29","B","1","C","1",168,"Moss",32,19.047619047619,"Moss","Biocrust"
"30","B","1","C","1",168,"OECA",0,0,"Annual_Forb","Plant"
"31","B","1","C","1",168,"OPUNT",0,0,"Cactus","Plant"
"32","B","1","C","1",168,"PHCR",0,0,"Annual_Forb","Plant"
"33","B","1","C","1",168,"PLPA",0,0,"Annual_Forb","Plant"
"34","B","1","C","1",168,"SCWH",0,0,"Cactus","Plant"
"35","B","1","C","1",168,"SPORO",0,0,"Perennial_Grass","Plant"
"36","B","1","C","1",168,"TILA",0,0,"Annual_Forb","Plant"
"37","B","1","C","1",168,"UNK1",0,0,"Annual_Forb","Plant"
"38","B","1","C","1",168,"ATCO",0,0,"Shrub","Plant"
"39","B","1","C","1",168,"HIJA",0,0,"Perennial_Grass","Plant"
"40","B","1","C","1",168,"PlantBase",0,0,"Plant_Base","Plant"
"41","B","1","C","1",168,"ACHY",0,0,"Perennial_Grass","Plant"
"42","B","1","C","1",168,"Chamber",0,0,"Chamber","Abiotic_Cover"
"43","B","1","C","1",168,"Rock",0,0,"Rock","Abiotic_Cover"
"44","B","1","C","1",168,"Bare",0,0,"Bare_Ground","Abiotic_Cover"
"45","B","1","C","2",172,"ANBR",0,0,"Annual_Forb","Plant"
"46","B","1","C","2",172,"ASAM",0,0,"Annual_Forb","Plant"
"47","B","1","C","2",172,"Bromus",60,34.8837209302326,"Annual_Grass","Plant"
"48","B","1","C","2",172,"CHER",0,0,"Annual_Forb","Plant"
"49","B","1","C","2",172,"CRYPT",0,0,"Annual_Forb","Plant"
"50","B","1","C","2",172,"CYAC",0,0,"Annual_Forb","Plant"
"51","B","1","C","2",172,"DEAN",0,0,"Annual_Forb","Plant"
"52","B","1","C","2",172,"DEPI",0,0,"Annual_Forb","Plant"
"53","B","1","C","2",172,"Dark",3,1.74418604651163,"DkCy","Biocrust"
"54","B","1","C","2",172,"ENFR",0,0,"Annual_Forb","Plant"
"55","B","1","C","2",172,"EPHED",0,0,"Shrub","Plant"
"56","B","1","C","2",172,"EPTO",0,0,"Shrub","Plant"
"57","B","1","C","2",172,"EPVI",0,0,"Shrub","Plant"
"58","B","1","C","2",172,"ERIN",0,0,"Annual_Forb","Plant"
"59","B","1","C","2",172,"FEOC",0,0,"Annual_Grass","Plant"
"60","B","1","C","2",172,"GAPI",5,2.90697674418605,"Annual_Forb","Plant"
"61","B","1","C","2",172,"GIIN",0,0,"Annual_Forb","Plant"
"62","B","1","C","2",172,"GUSA",4,2.32558139534884,"Shrub","Plant"
"63","B","1","C","2",172,"HECO",0,0,"Perennial_Grass","Plant"
"64","B","1","C","2",172,"IPPO",0,0,"Annual_Forb","Plant"
