"full","location","plot","treat","BI","KEY"
"B1_CC_1","S1","B1","CC",0.0679328940917186,"B1CCS1"
"B1_CC_10","S10","B1","CC",0.0589484696749744,"B1CCS10"
"B1_CC_11","S11","B1","CC",0.0757712885334512,"B1CCS11"
"B1_CC_12","S12","B1","CC",0.078197261795349,"B1CCS12"
"B1_CC_13","S13","B1","CC",0.0676187688489963,"B1CCS13"
"B1_CC_14","S14","B1","CC",0.0918628337612943,"B1CCS14"
"B1_CC_15","S15","B1","CC",0.0846121533278754,"B1CCS15"
"B1_CC_2","S2","B1","CC",0.0757507929242174,"B1CCS2"
"B1_CC_3","S3","B1","CC",0.0583307658582515,"B1CCS3"
"B1_CC_4","S4","B1","CC",0.0775426606398462,"B1CCS4"
"B1_CC_5","S5","B1","CC",0.0733536430085674,"B1CCS5"
"B1_CC_6","S6","B1","CC",0.0671973915438106,"B1CCS6"
"B1_CC_7","S7","B1","CC",0.0810740115197302,"B1CCS7"
"B1_CC_8","S8","B1","CC",0.07087123087536,"B1CCS8"
"B1_CC_9","S9","B1","CC",0.054094679054148,"B1CCS9"
"B2_CC_1","S1","B2","CC",0.0737159768740443,"B2CCS1"
"B2_CC_10","S10","B2","CC",0.0809449218740465,"B2CCS10"
"B2_CC_11","S11","B2","CC",0.0418876508475378,"B2CCS11"
"B2_CC_12","S12","B2","CC",0.0438377958654513,"B2CCS12"
"B2_CC_13","S13","B2","CC",0.0669049733236061,"B2CCS13"
"B2_CC_14","S14","B2","CC",0.0516448098463805,"B2CCS14"
"B2_CC_15","S15","B2","CC",0.0630731493882523,"B2CCS15"
"B2_CC_2","S2","B2","CC",0.0624873687334042,"B2CCS2"
"B2_CC_3","S3","B2","CC",0.0660895314187843,"B2CCS3"
"B2_CC_4","S4","B2","CC",0.0587452586887113,"B2CCS4"
"B2_CC_5","S5","B2","CC",0.0511513894970236,"B2CCS5"
"B2_CC_6","S6","B2","CC",0.0598663422768484,"B2CCS6"
"B2_CC_7","S7","B2","CC",0.0639091862695415,"B2CCS7"
"B2_CC_8","S8","B2","CC",0.040336098863695,"B2CCS8"
"B2_CC_9","S9","B2","CC",0.0593066569118954,"B2CCS9"
"B3_CC_1","S1","B3","CC",0.0640633209704487,"B3CCS1"
"B3_CC_10","S10","B3","CC",0.0659510198599863,"B3CCS10"
"B3_CC_11","S11","B3","CC",0.0788490552592107,"B3CCS11"
"B3_CC_12","S12","B3","CC",0.0480219386025641,"B3CCS12"
"B3_CC_13","S13","B3","CC",0.0748438643120018,"B3CCS13"
"B3_CC_14","S14","B3","CC",0.0686922086264316,"B3CCS14"
"B3_CC_15","S15","B3","CC",0.0512995073352248,"B3CCS15"
"B3_CC_2","S2","B3","CC",0.0873819899401062,"B3CCS2"
"B3_CC_3","S3","B3","CC",0.0874092886608748,"B3CCS3"
"B3_CC_4","S4","B3","CC",0.0688693940976585,"B3CCS4"
"B3_CC_5","S5","B3","CC",0.0766845839136185,"B3CCS5"
"B3_CC_6","S6","B3","CC",0.0546965286972038,"B3CCS6"
"B3_CC_7","S7","B3","CC",0.0594517567055605,"B3CCS7"
"B3_CC_8","S8","B3","CC",0.0781405291428602,"B3CCS8"
"B3_CC_9","S9","B3","CC",0.0528771628912464,"B3CCS9"
"B4_CC_1","S1","B4","CC",0.0841745675212737,"B4CCS1"
"B4_CC_10","S10","B4","CC",0.0794800492857357,"B4CCS10"
"B4_CC_11","S11","B4","CC",0.0682044355702423,"B4CCS11"
"B4_CC_12","S12","B4","CC",0.0565444027790914,"B4CCS12"
"B4_CC_13","S13","B4","CC",0.075282133084929,"B4CCS13"
"B4_CC_14","S14","B4","CC",0.069968919860599,"B4CCS14"
"B4_CC_15","S15","B4","CC",0.0735266348022009,"B4CCS15"
"B4_CC_2","S2","B4","CC",0.0799353139928562,"B4CCS2"
"B4_CC_3","S3","B4","CC",0.0510794333750721,"B4CCS3"
"B4_CC_4","S4","B4","CC",0.0541988656393034,"B4CCS4"
"B4_CC_5","S5","B4","CC",0.074073201767083,"B4CCS5"
"B4_CC_6","S6","B4","CC",0.0628714416195546,"B4CCS6"
"B4_CC_7","S7","B4","CC",0.068998285177878,"B4CCS7"
"B4_CC_8","S8","B4","CC",0.139967254442609,"B4CCS8"
"B4_CC_9","S9","B4","CC",0.0558883041731156,"B4CCS9"
"B5_CC_1","S1","B5","CC",0.0720214391789916,"B5CCS1"
"B5_CC_10","S10","B5","CC",0.0670412973737874,"B5CCS10"
"B5_CC_11","S11","B5","CC",0.039313786485228,"B5CCS11"
"B5_CC_12","S12","B5","CC",0.0903831862071327,"B5CCS12"
"B5_CC_13","S13","B5","CC",0.0817423970440139,"B5CCS13"
"B5_CC_14","S14","B5","CC",0.0751566042256906,"B5CCS14"
"B5_CC_15","S15","B5","CC",0.0866039254290483,"B5CCS15"
"B5_CC_2","S2","B5","CC",0.0617627124951841,"B5CCS2"
"B5_CC_3","S3","B5","CC",0.0779369444097524,"B5CCS3"
"B5_CC_4","S4","B5","CC",0.0585513479446632,"B5CCS4"
"B5_CC_5","S5","B5","CC",0.0837269573902937,"B5CCS5"
"B5_CC_6","S6","B5","CC",0.0896347169061702,"B5CCS6"
"B5_CC_7","S7","B5","CC",0.0672218842281252,"B5CCS7"
"B5_CC_8","S8","B5","CC",0.08270518437524,"B5CCS8"
"B5_CC_9","S9","B5","CC",0.063904619228164,"B5CCS9"
"B1_CW_1","S1","B1","CW",0.0803558134722433,"B1CWS1"
"B1_CW_10","S10","B1","CW",0.0714601872881508,"B1CWS10"
"B1_CW_11","S11","B1","CW",0.0743175592485976,"B1CWS11"
"B1_CW_12","S12","B1","CW",0.0834155360918512,"B1CWS12"
"B1_CW_13","S13","B1","CW",0.0945707612867333,"B1CWS13"
"B1_CW_14","S14","B1","CW",0.107458185920196,"B1CWS14"
"B1_CW_15","S15","B1","CW",0.0945553576125562,"B1CWS15"
"B1_CW_2","S2","B1","CW",0.0832826219215329,"B1CWS2"
"B1_CW_3","S3","B1","CW",0.0743687658818771,"B1CWS3"
"B1_CW_4","S4","B1","CW",0.0642755940532538,"B1CWS4"
"B1_CW_5","S5","B1","CW",0.088702505248335,"B1CWS5"
"B1_CW_6","S6","B1","CW",0.0695986421408053,"B1CWS6"
"B1_CW_7","S7","B1","CW",0.0746204458320823,"B1CWS7"
"B1_CW_8","S8","B1","CW",0.0814273057742457,"B1CWS8"
"B1_CW_9","S9","B1","CW",0.0703174551005513,"B1CWS9"
"B2_CW_1","S1","B2","CW",0.0547416300001997,"B2CWS1"
"B2_CW_10","S10","B2","CW",0.101019580044116,"B2CWS10"
"B2_CW_11","S11","B2","CW",0.103224530529491,"B2CWS11"
"B2_CW_12","S12","B2","CW",0.0993346440358814,"B2CWS12"
"B2_CW_13","S13","B2","CW",0.078406166919194,"B2CWS13"
"B2_CW_14","S14","B2","CW",0.103571701343296,"B2CWS14"
"B2_CW_15","S15","B2","CW",0.115790084194354,"B2CWS15"
"B2_CW_2","S2","B2","CW",0.0935651207794759,"B2CWS2"
"B2_CW_3","S3","B2","CW",0.0826002921915753,"B2CWS3"
"B2_CW_4","S4","B2","CW",0.0657452705340258,"B2CWS4"
"B2_CW_5","S5","B2","CW",0.0829879978256422,"B2CWS5"
"B2_CW_6","S6","B2","CW",0.0615952193523136,"B2CWS6"
"B2_CW_7","S7","B2","CW",0.0465404134845638,"B2CWS7"
"B2_CW_8","S8","B2","CW",0.0740224827979637,"B2CWS8"
"B2_CW_9","S9","B2","CW",0.0543710811389509,"B2CWS9"
"B3_CW_1","S1","B3","CW",0.0765368279367279,"B3CWS1"
"B3_CW_10","S10","B3","CW",0.0374991308504974,"B3CWS10"
"B3_CW_11","S11","B3","CW",0.062653717554964,"B3CWS11"
"B3_CW_12","S12","B3","CW",0.0740305107764905,"B3CWS12"
"B3_CW_13","S13","B3","CW",0.0356005849731185,"B3CWS13"
"B3_CW_14","S14","B3","CW",0.0834114551361655,"B3CWS14"
"B3_CW_15","S15","B3","CW",0.0845497502548924,"B3CWS15"
"B3_CW_2","S2","B3","CW",0.0783828306355673,"B3CWS2"
"B3_CW_3","S3","B3","CW",0.111346394680035,"B3CWS3"
"B3_CW_4","S4","B3","CW",0.0889452998083233,"B3CWS4"
"B3_CW_5","S5","B3","CW",0.0974414699452739,"B3CWS5"
"B3_CW_6","S6","B3","CW",0.11165882166259,"B3CWS6"
"B3_CW_7","S7","B3","CW",0.102387615016873,"B3CWS7"
"B3_CW_8","S8","B3","CW",0.0707122208800813,"B3CWS8"
"B3_CW_9","S9","B3","CW",0.0556045174938782,"B3CWS9"
"B4_CW_1","S1","B4","CW",0.0568821362162477,"B4CWS1"
"B4_CW_10","S10","B4","CW",0.090345467731447,"B4CWS10"
