"ID","Plot","Treat","Type","Rep","NDVI","CI1","CI2"
"B1_LC_DCY_1","B1","LC","DCY","1","0.185468117226325","0.275278247431242","0.0356152347718462"
"B1_LC_DCY_2","B1","LC","DCY","2","0.159334826069026","0.342611526638374","0.0351130914896171"
"B1_LC_DCY_3","B1","LC","DCY","3","0.184981446121038","0.288064623222346","0.0354171579113251"
"B1_LC_LCN_1","B1","LC","LCN","1","0.234472392604156","0.269792669957677","0.0441294650216317"
"B1_LC_LCN_2","B1","LC","LCN","2","0.240484551117831","0.337897351000262","0.0544318466896259"
"B1_LC_LCN_3","B1","LC","LCN","3","0.244684779014874","0.377354550715956","0.0657833666283517"
"B1_LC_MSS_1","B1","LC","MSS","1","0.247719308549419","0.35202660021383","0.0623232410162652"
"B1_LC_MSS_2","B1","LC","MSS","2","0.214023863511264","0.340833201755444","0.0518447506255828"
"B1_LC_MSS_3","B1","LC","MSS","3","0.298126683398976","0.416033723303167","0.0777860577323053"
"B1_LC_LCY_1","B1","LC","LCY","1","0.102113963284975","0.386985355791943","0.0260972913832675"
"B1_LC_LCY_2","B1","LC","LCY","2","0.107629026750242","0.405178786759248","0.0280571893718521"
"B1_LC_LCY_3","B1","LC","LCY","3","0.104685577024856","0.394210313182625","0.026842125177786"
"B1_LW_LCN_1","B1","LW","LCN","1","0.257811877132161","0.239682734040836","0.0480140366730216"
"B1_LW_LCN_2","B1","LW","LCN","2","0.177245585081847","0.361404931227884","0.0395874149152435"
"B1_LW_LCN_3","B1","LW","LCN","3","0.214683182973843","0.331774624626377","0.0473913998660553"
"B1_LW_DCY_1","B1","LW","DCY","1","0.186867179189952","0.264313055515034","0.033468736155886"
"B1_LW_DCY_2","B1","LW","DCY","2","0.156428439796151","0.329705571976352","0.0320203972749465"
"B1_LW_DCY_3","B1","LW","DCY","3","0.12728667946422","0.345657838828531","0.0277935076826387"
"B1_LW_MSS_1","B1","LW","MSS","1","0.196336474876499","0.352488744129831","0.0474018077894104"
"B1_LW_MSS_2","B1","LW","MSS","2","0.203680829198843","0.377149692584306","0.0555734501707186"
"B1_LW_MSS_3","B1","LW","MSS","3","0.219443293342048","0.374615173132139","0.0580939142401927"
"B1_LW_LCY_1","B1","LW","LCY","1","0.114840270079617","0.395739538283365","0.0286068308732426"
"B1_LW_LCY_2","B1","LW","LCY","2","0.126229411273773","0.385994045233508","0.0305749184430251"
"B1_LW_LCY_3","B1","LW","LCY","3","0.130947916986059","0.380741797316915","0.0305799906952477"
"B1_CC_LCY_1","B1","CC","LCY","1","0.115630172996183","0.413292600295566","0.0298928459311158"
"B1_CC_LCY_2","B1","CC","LCY","2","0.109197851676018","0.417185142632645","0.0292908184162585"
"B1_CC_LCY_3","B1","CC","LCY","3","0.130397909682525","0.414409794060506","0.0331727442011876"
