"block","tx","mean_t","mean_sm"
1,"C",11.2147500007,0.000284263332802
1,"LW",20.8163833337,0.000290373665604
1,"W",6.222249999,0.000283200665604
2,"C",14.0582500003,0.000279746998406
2,"L",16.4142333337,0.000297015334396
2,"LW",20.6505999997,0.000284263334396
2,"W",12.470766666,0.000279746998406
3,"C",13.6013833337,3.8256e-05
3,"L",17.9667499987,4.4897667198e-05
3,"LW",19.2077666673,0.000295155665604
3,"W",10.1655333333,0.000297546665604
4,"C",12.3752666667,5.6055665604e-05
4,"L",16.1389833331,3.7459e-05
4,"W",6.3441999999,5.9774998406e-05
5,"C",11.5177000007,3.4271e-05
5,"L",19.8725499986,6.2697332802e-05
5,"LW",6.9691333324,8.3950667198e-05
5,"W",10.17355,6.2963e-05
