"Plot","Treat","Value"
"B1","CC","0.0603579034253677"
"B1","CW","0.0671349941166463"
"B1","LC","0.0894197230179285"
"B1","LW","0.0892851480706172"
"B2","CC","0.0642323470238945"
"B2","CW","0.0700809764506465"
"B2","LC","0.089541967768498"
"B2","LW","0.106970736083864"
"B3","CC","0.0580140492180362"
"B3","CW","0.0702262408203549"
"B3","LC","0.0820736142087149"
"B3","LW","0.0740907585248351"
"B4","CC","0.0696463671764491"
"B4","CW","0.0572933039297105"
"B4","LC","0.0820454849861562"
"B4","LW","0.104010817581522"
"B5","CC","0.0681659478717055"
"B5","CW","0.0945416828856254"
"B5","LC","0.0948132714842047"
"B5","LW","0.120304616846446"
