"Plot","Treat","Value"
"B1","CC","0.0935061705609163"
"B1","CW","0.139996572657198"
"B1","LC","0.15046976476828"
"B1","LW","0.157368283265191"
"B2","CC","0.123579620779563"
"B2","CW","0.125026516555771"
"B2","LC","0.151749968287921"
"B2","LW","0.156644085894164"
"B3","CC","0.0880405865609646"
"B3","CW","0.137897412088873"
"B3","LC","0.147870604786576"
"B3","LW","0.147832298487589"
"B4","CC","0.132070551941956"
"B4","CW","0.0993708947314582"
"B4","LC","0.142062183824323"
"B4","LW","0.167544332133438"
"B5","CC","0.125133731330817"
"B5","CW","0.12925258415219"
"B5","LC","0.160607560918"
"B5","LW","0.137163470354345"
