"Plot","Treat","Value"
"B1","CC","0.077685659359844"
"B1","CW","0.0794356565772855"
"B1","LC","0.0964099377929933"
"B1","LW","0.102452416963022"
"B2","CC","0.0694957322106988"
"B2","CW","0.0777685083562293"
"B2","LC","0.106959271119039"
"B2","LW","0.116429262338174"
"B3","CC","0.0717012952623917"
"B3","CW","0.0855966107387324"
"B3","LC","0.10179863354916"
"B3","LW","0.0971410779181215"
"B4","CC","0.0798189289548959"
"B4","CW","0.0800214480041496"
"B4","LC","0.112637919243149"
"B4","LW","0.109440126173409"
"B5","CC","0.07396616810199"
"B5","CW","0.0891690561290667"
"B5","LC","0.109527672286984"
"B5","LW","0.11234536182337"
