"Plot","Treat","Value"
"B1","CC","0.346784945321858"
"B1","CW","0.237495768885274"
"B1","LC","0.155712388819833"
"B1","LW","0.180370284382636"
"B2","CC","0.244265447172229"
"B2","CW","0.2064142528956"
"B2","LC","0.221811880734587"
"B2","LW","0.150259611699434"
"B3","CC","0.288967353435512"
"B3","CW","0.204942428037548"
"B3","LC","0.230705376559145"
"B3","LW","0.24226869374058"
"B4","CC","0.265006676093856"
"B4","CW","0.252058993608778"
"B4","LC","0.245928127447821"
"B4","LW","0.223237321689725"
"B5","CC","0.275492987315773"
"B5","CW","0.147781834421233"
"B5","LC","0.216338399851842"
"B5","LW","0.132406055489563"
