"Plot","Treat","Value"
"B1","CC","0.149641094450778"
"B1","CW","0.127313748891934"
"B1","LC","0.089975197727052"
"B1","LW","0.0895436410515932"
"B2","CC","0.1136900744392"
"B2","CW","0.123132126096121"
"B2","LC","0.120959552569208"
"B2","LW","0.0975906756200179"
"B3","CC","0.19908648845148"
"B3","CW","0.111553780972646"
"B3","LC","0.10344616072933"
"B3","LW","0.106864217587661"
"B4","CC","0.125825757304734"
"B4","CW","0.142144241344425"
"B4","LC","0.138319865447322"
"B4","LW","0.0991644220856279"
"B5","CC","0.132104718247655"
"B5","CW","0.118749368696409"
"B5","LC","0.0907989240548846"
"B5","LW","0.107231992922331"
