"Plot","Treat","Value"
"B1","CC","0.2049007324987"
"B1","CW","0.208449886352955"
"B1","LC","0.177580095900288"
"B1","LW","0.170850431438592"
"B2","CC","0.232003155236133"
"B2","CW","0.194999545441046"
"B2","LC","0.177658730956986"
"B2","LW","0.164438697582237"
"B3","CC","0.236158450497865"
"B3","CW","0.175223408899743"
"B3","LC","0.192512536013061"
"B3","LW","0.179947067503846"
"B4","CC","0.221704593188808"
"B4","CW","0.183521252539906"
"B4","LC","0.209385270284487"
"B4","LW","0.192219748662926"
"B5","CC","0.221387784831178"
"B5","CW","0.199010957448042"
"B5","LC","0.20175649884136"
"B5","LW","0.183028652353832"
