"Plot","Treat","Value"
"B1","CC","29348.5777777778"
"B1","CW","29355.7188940092"
"B1","LC","29378.6341463415"
"B1","LW","29320.9392265193"
"B2","CC","29291.0625"
"B2","CW","29363.3976608187"
"B2","LC","29687.5857988166"
"B2","LW","29474.1063829787"
"B3","CC","29369.1204188482"
"B3","CW","29514.8114285714"
"B3","LC","29576.0473372781"
"B3","LW","29599.3181818182"
"B4","CC","29796.1157894737"
"B4","CW","29432.1454545455"
"B4","LC","29735.2666666667"
"B4","LW","29605.6902173913"
"B5","CC","29496.5"
"B5","CW","29434.3934426229"
"B5","LC","29692.4770114943"
"B5","LW","29606.75"
