"Plot","Treat","Value"
"B1","CC","0.167080229864671"
"B1","CW","0.23602150529623"
"B1","LC","0.342375368557193"
"B1","LW","0.217535150356782"
"B2","CC","0.274667931391912"
"B2","CW","0.187836019943158"
"B2","LC","0.288870970010757"
"B2","LW","0.269428152252327"
"B3","CC","0.0952620944008231"
"B3","CW","0.35253456163974"
"B3","LC","0.259848015096325"
"B3","LW","0.220843671606137"
"B4","CC","0.254032257795334"
"B4","CW","0.298817206223806"
"B4","LC","0.320178448836854"
"B4","LW","0.205946074492896"
"B5","CC","0.188667230700192"
"B5","CW","0.255472350067326"
"B5","LC","0.342165900837807"
"B5","LW","0.270211073719425"
