"Plot","Treat","Value"
"B1","CC","0.287010370354567"
"B1","CW","0.275633641119514"
"B1","LC","0.372208436111827"
"B1","LW","0.309313215555683"
"B2","CC","0.385028948768591"
"B2","CW","0.298675115619387"
"B2","LC","0.286535762768725"
"B2","LW","0.309229391316573"
"B3","CC","0.357089274151381"
"B3","CW","0.338639550753262"
"B3","LC","0.381226684568691"
"B3","LW","0.351028004190424"
"B4","CC","0.36985539465115"
"B4","CW","0.345967745184898"
"B4","LC","0.228652751840213"
"B4","LW","0.313915049622518"
"B5","CC","0.339490115642548"
"B5","CW","0.336275106331087"
"B5","LC","0.358457402923168"
"B5","LW","0.236815156208144"
