"Plot","Treat","Value"
"B1","CC","0.520458373455637"
"B1","CW","0.530021988104207"
"B1","LC","0.554705261782314"
"B1","LW","0.536629978916835"
"B2","CC","0.49986928966819"
"B2","CW","0.514455006237326"
"B2","LC","0.595416174659099"
"B2","LW","0.528649916929345"
"B3","CC","0.515611690543189"
"B3","CW","0.55848084527968"
"B3","LC","0.556819898328634"
"B3","LW","0.566992573466942"
"B4","CC","0.615306179840727"
"B4","CW","0.514741468104869"
"B4","LC","0.614462556858787"
"B4","LW","0.581949544544479"
"B5","CC","0.520016859685839"
"B5","CW","0.523336029348358"
"B5","LC","0.595313230462651"
"B5","LW","0.579937747229973"
