Plot,Lamp,Water,Treat,Type,Val
B1,C,C,CC,LCY,13.75
B1,L,C,LC,LCY,31.25
B1,L,W,LW,LCY,50
B1,C,W,CW,LCY,22.5
B2,C,C,CC,LCY,18.75
B2,L,C,LC,LCY,35
B2,L,W,LW,LCY,38.75
B2,C,W,CW,LCY,22.5
B3,C,C,CC,LCY,5
B3,L,C,LC,LCY,35
B3,L,W,LW,LCY,51.25
B3,C,W,CW,LCY,41.25
B4,C,C,CC,LCY,11.25
B4,L,C,LC,LCY,31.25
B4,L,W,LW,LCY,18.75
B4,C,W,CW,LCY,21.25
B5,C,C,CC,LCY,8.75
B5,L,C,LC,LCY,62.5
B5,L,W,LW,LCY,77.5
B5,C,W,CW,LCY,5
B1,C,C,CC,DCY,5
B1,L,C,LC,DCY,2.5
B1,L,W,LW,DCY,3.75
B1,C,W,CW,DCY,32.5
B2,C,C,CC,DCY,7.5
B2,L,C,LC,DCY,13.75
B2,L,W,LW,DCY,5
B2,C,W,CW,DCY,22.5
B3,C,C,CC,DCY,2.5
B3,L,C,LC,DCY,3.75
B3,L,W,LW,DCY,1.25
B3,C,W,CW,DCY,13.75
B4,C,C,CC,DCY,0
B4,L,C,LC,DCY,0
B4,L,W,LW,DCY,5
B4,C,W,CW,DCY,5
B5,C,C,CC,DCY,6.25
B5,L,C,LC,DCY,5
B5,L,W,LW,DCY,0
B5,C,W,CW,DCY,1.25
B1,C,C,CC,LCN,1.25
B1,L,C,LC,LCN,0.833333333
B1,L,W,LW,LCN,0
B1,C,W,CW,LCN,4.583333333
B2,C,C,CC,LCN,0
B2,L,C,LC,LCN,0
B2,L,W,LW,LCN,0
B2,C,W,CW,LCN,2.5
B3,C,C,CC,LCN,0.416666667
B3,L,C,LC,LCN,0.416666667
B3,L,W,LW,LCN,0
B3,C,W,CW,LCN,2.916666667
B4,C,C,CC,LCN,0
B4,L,C,LC,LCN,0
B4,L,W,LW,LCN,0
B4,C,W,CW,LCN,1.25
B5,C,C,CC,LCN,0.416666667
B5,L,C,LC,LCN,1.25
B5,L,W,LW,LCN,0
B5,C,W,CW,LCN,0
B1,C,C,CC,MSS,26.25
B1,L,C,LC,MSS,6.25
B1,L,W,LW,MSS,1.25
B1,C,W,CW,MSS,3.75
B2,C,C,CC,MSS,16.25
B2,L,C,LC,MSS,2.5
B2,L,W,LW,MSS,10
B2,C,W,CW,MSS,15
B3,C,C,CC,MSS,8.75
B3,L,C,LC,MSS,2.5
B3,L,W,LW,MSS,0
B3,C,W,CW,MSS,3.75
B4,C,C,CC,MSS,67
B4,L,C,LC,MSS,0
B4,L,W,LW,MSS,0
B4,C,W,CW,MSS,2.5
B5,C,C,CC,MSS,30
B5,L,C,LC,MSS,6.25
B5,L,W,LW,MSS,0
B5,C,W,CW,MSS,2.5
B1,C,C,CC,Plant,3.75
B1,L,C,LC,Plant,2.5
B1,L,W,LW,Plant,0
B1,C,W,CW,Plant,5
B2,C,C,CC,Plant,0
B2,L,C,LC,Plant,10
B2,L,W,LW,Plant,12.5
B2,C,W,CW,Plant,2.5
B3,C,C,CC,Plant,5
B3,L,C,LC,Plant,8.75
B3,L,W,LW,Plant,0
B3,C,W,CW,Plant,0
B4,C,C,CC,Plant,0
B4,L,C,LC,Plant,0
B4,L,W,LW,Plant,0
B4,C,W,CW,Plant,0
B5,C,C,CC,Plant,1.25
B5,L,C,LC,Plant,1.25
B5,L,W,LW,Plant,0
B5,C,W,CW,Plant,6.25
