"Spectra","Plot","Block","Treatment","Litter","Rock","Bare","Live","Dead","Lichen","Moss","Dark","Light"
"S1","B","1","C","0.64","0","0","0.56","0.04","0.16","0.04","0.04","0.16"
"S1","B","2","C","0.88","0","0","0.68","0.08","0.04","0","0","0.04"
"S1","B","3","C","0.84","0","0","0.64","0.32","0.04","0.04","0","0.08"
"S1","B","4","C","0.2","0","0","0.56","0.24","0","0.52","0.16","0.12"
"S1","B","5","C","0.72","0","0","0.68","0.16","0","0.24","0.08","0.08"
"S1","B","1","L","0.4","0.04","0","0.32","0.04","0","0.04","0","0.52"
"S1","B","2","L","0.72","0.12","0","0.16","0","0","0.04","0.04","0.12"
"S1","B","3","L","0.52","0.2","0","0.08","0","0.04","0","0.04","0.24"
"S1","B","4","L","0.72","0.12","0","0.16","0","0","0.04","0","0.56"
"S1","B","5","L","0.84","0.04","0","0.24","0","0.04","0.08","0","0.36"
"S1","B","1","LW","0.64","0","0","0.36","0.12","0","0","0.12","0.2"
"S1","B","2","LW","0.52","0.08","0","0.12","0","0","0","0.12","0.36"
"S1","B","3","LW","0.52","0.16","0","0.04","0","0","0","0","0.36"
"S1","B","4","LW","0.68","0.12","0","0.2","0","0","0","0","0.48"
"S1","B","5","LW","0.84","0.08","0","0.28","0","0","0","0","0.08"
"S1","B","1","W","0.72","0","0","0.2","0","0.04","0","0.2","0.08"
"S1","B","2","W","0.64","0","0","0.52","0.2","0.12","0.08","0.08","0.04"
"S1","B","3","W","0.44","0.04","0","0.64","0.2","0.24","0","0.08","0.16"
"S1","B","4","W","0.4","0.16","0.04","0.52","0.16","0.08","0","0.16","0.24"
"S1","B","5","W","0.84","0.04","0","1.04","0.32","0.04","0.04","0","0.04"
"S2","B","1","C","0.5","0","0","0.45","0.05","0.2","0.1","0.05","0.1"
"S2","B","2","C","0.85","0","0","0.85","0","0.1","0.15","0","0.1"
"S2","B","3","C","0.8","0","0","0.8","0.45","0","0","0","0"
"S2","B","4","C","0.4","0.05","0","0.25","0.05","0","0.6","0.1","0.05"
"S2","B","5","C","0.5","0","0","0.3","0.2","0","0.5","0.05","0"
"S2","B","1","L","0.7","0.05","0","0.2","0","0","0","0","0.2"
"S2","B","2","L","0.6","0.15","0","0.05","0","0","0","0","0.25"
"S2","B","3","L","0.9","0","0","0.15","0.05","0","0","0.05","0"
"S2","B","4","L","0.9","0","0","0.15","0","0","0","0","0.4"
"S2","B","5","L","0.9","0.1","0","0.1","0","0","0.05","0","0.5"
"S2","B","1","LW","0.35","0.25","0","0.25","0.05","0","0","0","0.45"
"S2","B","2","LW","0.35","0","0","0.3","0","0","0","0.05","0.6"
"S2","B","3","LW","0.2","0.25","0","0","0","0","0","0","0.6"
"S2","B","4","LW","0.9","0","0","0.4","0","0","0","0.05","0.3"
"S2","B","5","LW","0.1","0.15","0","0","0","0","0","0","0.75"
"S2","B","1","W","0.5","0","0","0.1","0","0.05","0","0.4","0.1"
"S2","B","2","W","0.5","0","0","0.25","0","0","0.1","0.2","0.2"
"S2","B","3","W","0.25","0.05","0","0.05","0","0.2","0","0.15","0.4"
"S2","B","4","W","0.9","0.05","0","0.45","0","0.05","0","0","0"
"S2","B","5","W","0.9","0","0","0.35","0.05","0","0.05","0","0.1"
"S3","B","1","C","0.8","0","0","0.4","0","0.12","0.12","0","0"
"S3","B","2","C","0.56","0","0","0.2","0.12","0.16","0.12","0.08","0.16"
"S3","B","3","C","0.52","0.16","0","0.32","0.04","0.04","0.24","0","0.12"
"S3","B","4","C","0.4","0","0","0.32","0.08","0.08","0.64","0.16","0"
"S3","B","5","C","0.52","0","0","0.24","0.08","0.04","0.4","0.12","0"
"S3","B","1","L","0.6","0.08","0","0.12","0.04","0","0","0.08","0.24"
"S3","B","2","L","0.96","0","0","0.16","0","0","0","0.04","0.04"
"S3","B","3","L","0.84","0","0","0.68","0","0.04","0.08","0.04","0"
"S3","B","4","L","0.96","0.04","0","0.36","0.04","0","0","0","0.32"
"S3","B","5","L","0.4","0.12","0.04","0","0","0","0.16","0","0.6"
"S3","B","1","LW","0.28","0.08","0","0.32","0.08","0.04","0","0","0.56"
"S3","B","2","LW","0.28","0.04","0","0.24","0","0","0","0","0.6"
"S3","B","3","LW","0.76","0","0.04","0.36","0.16","0","0","0.04","0.12"
"S3","B","4","LW","0.92","0","0","0.84","0","0","0","0.04","0.08"
"S3","B","5","LW","0.32","0.04","0","0.36","0.04","0","0","0","0.68"
"S3","B","1","W","0.52","0","0","0.24","0.08","0.12","0","0.4","0.16"
"S3","B","2","W","0.8","0","0","0.16","0","0","0","0.24","0"
"S3","B","3","W","0.28","0.04","0","0.4","0.2","0","0","0.04","0.56"
"S3","B","4","W","0.92","0.04","0","0.96","0.2","0","0","0.04","0"
"S3","B","5","W","0.84","0","0","1.64","0.56","0","0","0","0"
"S4","B","1","C","0.44","0","0","0.36","0.12","0.2","0.24","0.04","0.16"
"S4","B","2","C","0.8","0","0","0.88","0.28","0.12","0.04","0","0.04"
"S4","B","3","C","0.6","0","0","0.32","0.2","0.12","0.24","0","0.12"
"S4","B","4","C","0.44","0","0","0.52","0.36","0.04","0.52","0.12","0"
"S4","B","5","C","0.4","0","0","0.12","0.08","0.04","0.28","0.12","0.16"
"S4","B","1","L","0.32","0.08","0.04","0.2","0","0","0.08","0","0.6"
"S4","B","2","L","0.4","0.2","0","0.16","0","0","0.08","0.08","0.2"
"S4","B","3","L","0.04","0.32","0","0","0","0","0","0","0.64"
"S4","B","4","L","0.44","0.04","0","0.92","0.08","0","0.08","0.04","0.52"
"S4","B","5","L","0.72","0","0","0.24","0.04","0","0.04","0","0.44"
"S4","B","1","LW","0.36","0","0","0.16","0.08","0.04","0","0.08","0.52"
