ID,Plot,Treat,Sensor,CBLUE,BLUE,GREEN,YELLOW,RED,REDEDGE,NIR,NDVI,CI1,CI2,Temperature Index
B1_CC,B1,CC,B. Resonon,0.045154353,0.055052636,0.071494395,0.101501128,0.113088386,0.139150372,0.165381633,0.20337318,0.349961138,0.056238582,NA
B1_CW,B1,CW,B. Resonon,0.048949032,0.059765088,0.078300121,0.112352943,0.124639379,0.154057728,0.186619962,0.215610554,0.357283042,0.060743669,NA
B1_LC,B1,LC,B. Resonon,0.063326319,0.078036007,0.110537595,0.181119556,0.205698112,0.237243957,0.264623725,0.137056744,0.389264,0.04080759,NA
B1_LW,B1,LW,B. Resonon,0.062915366,0.07757306,0.109280071,0.177265572,0.201081095,0.232510685,0.261978914,0.144254665,0.386325001,0.04231567,NA
B2_CC,B2,CC,B. Resonon,0.044504312,0.052703539,0.06345373,0.078746556,0.085362901,0.114092119,0.136923497,0.243846591,0.319073203,0.075559806,NA
B2_CW,B2,CW,B. Resonon,0.051706743,0.063320112,0.081940647,0.115214429,0.128535001,0.156213551,0.184260916,0.19379112,0.339572291,0.054201001,NA
B2_LC,B2,LC,B. Resonon,0.060359844,0.073926184,0.101622135,0.161123608,0.183479649,0.214317635,0.243664888,0.154943069,0.382715252,0.043574266,NA
B2_LW,B2,LW,B. Resonon,0.067198362,0.083318913,0.118089519,0.194161948,0.222618378,0.258810481,0.292248807,0.148698545,0.399536956,0.043684708,NA
B3_CC,B3,CC,B. Resonon,0.047788825,0.057905757,0.071694247,0.092444712,0.101164953,0.128711899,0.155708181,0.227384996,0.313408349,0.061667915,NA
B3_CW,B3,CW,B. Resonon,0.050180454,0.061184459,0.079651172,0.113287938,0.126766609,0.150477085,0.174998018,0.174396718,0.333293432,0.049533266,NA
B3_LC,B3,LC,B. Resonon,0.059278953,0.073127069,0.101450584,0.162897474,0.187221585,0.220571857,0.249576502,0.156553064,0.395254623,0.043426398,NA
B3_LW,B3,LW,B. Resonon,0.058678666,0.071206153,0.097234794,0.15177613,0.172506538,0.206741255,0.236682649,0.170440366,0.388969288,0.053367678,NA
B4_CC,B4,CC,B. Resonon,0.051336862,0.060029446,0.074545329,0.099419538,0.109271162,0.136293816,0.168294214,0.230796182,0.324637366,0.064366529,NA
B4_CW,B4,CW,B. Resonon,0.046824379,0.059228468,0.079010016,0.11483396,0.130140001,0.157520718,0.186341416,0.194813621,0.358512296,0.052152589,NA
