Plot,Lamp,Water,Treat,Band,Wavelength,Val
B1,C,C,CC,Band1,Coastal Blue,0.05715
B1,L,C,LC,Band1,Coastal Blue,0.06181
B1,L,W,LW,Band1,Coastal Blue,0.066743
B1,C,W,CW,Band1,Coastal Blue,0.056231
B2,C,C,CC,Band1,Coastal Blue,0.055355
B2,L,C,LC,Band1,Coastal Blue,0.071586
B2,L,W,LW,Band1,Coastal Blue,0.073441
B2,C,W,CW,Band1,Coastal Blue,0.059933
B3,C,C,CC,Band1,Coastal Blue,0.058347
B3,L,C,LC,Band1,Coastal Blue,0.065895
B3,L,W,LW,Band1,Coastal Blue,0.066319
B3,C,W,CW,Band1,Coastal Blue,0.061526
B4,C,C,CC,Band1,Coastal Blue,0.061239
B4,L,C,LC,Band1,Coastal Blue,0.067561
B4,L,W,LW,Band1,Coastal Blue,0.070436
B4,C,W,CW,Band1,Coastal Blue,0.061293
B5,C,C,CC,Band1,Coastal Blue,0.057106
B5,L,C,LC,Band1,Coastal Blue,0.068308
B5,L,W,LW,Band1,Coastal Blue,0.070875
B5,C,W,CW,Band1,Coastal Blue,0.067176
B1,C,C,CC,Band2,Blue,0.064934
B1,L,C,LC,Band2,Blue,0.070616
B1,L,W,LW,Band2,Blue,0.076095
B1,C,W,CW,Band2,Blue,0.063638
B2,C,C,CC,Band2,Blue,0.062636
B2,L,C,LC,Band2,Blue,0.081449
B2,L,W,LW,Band2,Blue,0.084148
B2,C,W,CW,Band2,Blue,0.067934
B3,C,C,CC,Band2,Blue,0.066103
B3,L,C,LC,Band2,Blue,0.075356
B3,L,W,LW,Band2,Blue,0.075506
B3,C,W,CW,Band2,Blue,0.070135
B4,C,C,CC,Band2,Blue,0.069036
B4,L,C,LC,Band2,Blue,0.077256
B4,L,W,LW,Band2,Blue,0.080596
B4,C,W,CW,Band2,Blue,0.070065
B5,C,C,CC,Band2,Blue,0.064651
B5,L,C,LC,Band2,Blue,0.078285
B5,L,W,LW,Band2,Blue,0.08086
