Plot,Lamp,Water,Treat,NDVI,BI
B1,C,C,CC,0.139862458,0.079009661
B1,C,W,CW,0.194979674,0.073400332
B1,L,C,LC,NA,0.078020171
B1,L,W,LW,0.185836607,0.081541439
B2,C,C,CC,0.177212071,0.079981386
B2,C,W,CW,0.177723652,0.069672199
B2,L,C,LC,0.165111918,0.084380542
B2,L,W,LW,0.156270435,0.090783454
B3,C,C,CC,0.214987603,0.073691203
B3,C,W,CW,0.161276159,0.080132166
B3,L,C,LC,0.166836693,0.080505395
B3,L,W,LW,0.149624405,0.088892598
B4,C,C,CC,0.18266451,0.076088249
B4,C,W,CW,0.162882784,0.077210511
B4,L,C,LC,0.162174265,0.094573925
B4,L,W,LW,0.166451499,0.092238099
B5,C,C,CC,0.159275913,0.075356485
B5,C,W,CW,0.152579558,0.078090045
B5,L,C,LC,0.177797955,0.083997162
B5,L,W,LW,0.160843055,0.089435454
