Plot,Lamp,Water,Treat,Band,Wavelength,Val
B1,C,C,CC,Band1,Coastal Blue,0.146225002
B1,L,C,LC,Band1,Coastal Blue,0.143113831
B1,L,W,LW,Band1,Coastal Blue,0.149336172
B1,C,W,CW,Band1,Coastal Blue,0.147262058
B2,C,C,CC,Band1,Coastal Blue,0.147262058
B2,L,C,LC,Band1,Coastal Blue,0.151410285
B2,L,W,LW,Band1,Coastal Blue,0.150373229
B2,C,W,CW,Band1,Coastal Blue,0.145187945
B3,C,C,CC,Band1,Coastal Blue,0.143113831
B3,L,C,LC,Band1,Coastal Blue,0.150373229
B3,L,W,LW,Band1,Coastal Blue,0.150373229
B3,C,W,CW,Band1,Coastal Blue,0.148299115
B4,C,C,CC,Band1,Coastal Blue,0.150373229
B4,L,C,LC,Band1,Coastal Blue,0.149336172
B4,L,W,LW,Band1,Coastal Blue,0.153484399
B4,C,W,CW,Band1,Coastal Blue,0.150373229
B5,C,C,CC,Band1,Coastal Blue,0.145187945
B5,L,C,LC,Band1,Coastal Blue,0.148299115
B5,L,W,LW,Band1,Coastal Blue,0.152447342
B5,C,W,CW,Band1,Coastal Blue,0.149336172
B1,C,C,CC,Band2,Blue,0.11365498
B1,L,C,LC,Band2,Blue,0.112572551
B1,L,W,LW,Band2,Blue,0.117984693
B1,C,W,CW,Band2,Blue,0.110407694
B2,C,C,CC,Band2,Blue,0.115819836
B2,L,C,LC,Band2,Blue,0.12014955
B2,L,W,LW,Band2,Blue,0.116902265
B2,C,W,CW,Band2,Blue,0.111490123
B3,C,C,CC,Band2,Blue,0.110407694
B3,L,C,LC,Band2,Blue,0.119067121
B3,L,W,LW,Band2,Blue,0.121231978
B3,C,W,CW,Band2,Blue,0.116902265
B4,C,C,CC,Band2,Blue,0.114737408
B4,L,C,LC,Band2,Blue,0.125561692
B4,L,W,LW,Band2,Blue,0.123396835
B4,C,W,CW,Band2,Blue,0.119067121
B5,C,C,CC,Band2,Blue,0.115819836
B5,L,C,LC,Band2,Blue,0.115819836
B5,L,W,LW,Band2,Blue,0.121231978
B5,C,W,CW,Band2,Blue,0.116902265
B1,C,C,CC,Band3,Green,0.09935859
B1,L,C,LC,Band3,Green,0.092635076
B1,L,W,LW,Band3,Green,0.098611533
B1,C,W,CW,Band3,Green,0.093382133
B2,C,C,CC,Band3,Green,0.101599761
B2,L,C,LC,Band3,Green,0.108323274
B2,L,W,LW,Band3,Green,0.109070331
B2,C,W,CW,Band3,Green,0.093382133
B3,C,C,CC,Band3,Green,0.097117418
B3,L,C,LC,Band3,Green,0.103840932
B3,L,W,LW,Band3,Green,0.108323274
B3,C,W,CW,Band3,Green,0.09935859
B4,C,C,CC,Band3,Green,0.097864475
B4,L,C,LC,Band3,Green,0.115793845
B4,L,W,LW,Band3,Green,0.11205856
B4,C,W,CW,Band3,Green,0.101599761
B5,C,C,CC,Band3,Green,0.098611533
B5,L,C,LC,Band3,Green,0.102346818
B5,L,W,LW,Band3,Green,0.10682916
B5,C,W,CW,Band3,Green,0.100852704
B1,C,C,CC,Band4,Yellow,0.110840519
B1,L,C,LC,Band4,Yellow,0.095468476
B1,L,W,LW,Band4,Yellow,0.110031464
B1,C,W,CW,Band4,Yellow,0.097086586
B2,C,C,CC,Band4,Yellow,0.110031464
