"ID","Plot","Treat","Type","Rep","NDVI","CI1","CI2"
"B2_CC_LCY_1","B2","CC","LCY","1","0.213174877124526","0.471525257360292","0.0811814278368759"
"B2_CC_LCY_2","B2","CC","LCY","2","0.110335451200273","0.383320851393592","0.0239332557104209"
"B2_CC_LCY_3","B2","CC","LCY","3","0.147097357472858","0.430390796442942","0.0308015418314511"
"B2_CC_DCY_1","B2","CC","DCY","1","0.191127167844904","0.521525757717932","0.0699832061421307"
"B2_CC_DCY_2","B2","CC","DCY","2","0.166745939183862","0.465706412825651","0.080948099613272"
"B2_CC_DCY_3","B2","CC","DCY","3","0.137214444316788","0.393433977190322","0.050157631819044"
"B2_CC_MSS_1","B2","CC","LCN","1","0.283373640131574","0.364343792926257","0.0839617254500141"
"B2_CC_MSS_2","B2","CC","LCN","2","0.117492539979015","0.316961328159584","0.0173627980472158"
"B2_CC_MSS_3","B2","CC","LCN","3","0.164637116415002","0.393111853549829","0.0737575095576188"
"B2_LW_LCY_1","B2","CC","MSS","1","0.0610803508888963","0.436076124791672","0.0116031401505163"
"B2_LW_LCY_2","B2","CC","MSS","2","0.102487453507557","0.434736954239016","0.0330788385834861"
"B2_LW_LCY_3","B2","CC","MSS","3","0.123918453548006","0.450925595472133","0.0383964905192069"
"B2_LW_DCY_1","B2","LW","LCY","1","0.249548439236287","0.480268093217734","0.0399008203059193"
"B2_LW_MSS_1","B2","LW","LCY","2","0.30771201165335","0.380366411587305","0.0884994693655683"
"B2_LW_MSS_2","B2","LW","LCY","3","0.21074516772214","0.353039558590946","0.060135013066191"
"B2_CC_LCY_1","B2","LW","DCY","1","0.213174877124526","0.471525257360292","0.0811814278368759"
"B2_CC_LCY_2","B2","LW","MSS","1","0.110335451200273","0.383320851393592","0.0239332557104209"
"B2_CC_LCY_3","B2","LW","MSS","2","0.147097357472858","0.430390796442942","0.0308015418314511"
