Plot,Treat,Type,NDVI,BI,NTI_1,NTI_2,NTI_3,NTI_4
B1,CC,Dark,0.346784945,0.060357903,0.16708023,0.550868486,0.508851296,0.407459681
B1,CW,Dark,0.237495769,0.067134994,0.236021505,0.594086023,0.555814942,0.487557599
B1,LC,Dark,0.155712389,0.089419723,0.342375369,0.719024913,0.636648739,0.503795069
B1,LW,Dark,0.180370284,0.089285148,0.21753515,0.645161288,0.63649193,0.561033728
B2,CC,Dark,0.244265447,0.064232347,0.274667931,0.653107211,0.556792367,0.45259372
B2,CW,Dark,0.206414253,0.070080976,0.18783602,0.600974462,0.586870408,0.448742482
B2,LC,Dark,0.221811881,0.089541968,0.28887097,0.657258064,0.614994024,0.495307913
B2,LW,Dark,0.150259612,0.106970736,0.269428152,0.660740466,0.568110097,0.521213182
B3,CC,Dark,0.288967353,0.058014049,0.095262094,0.438760079,0.440211343,0.413271079
B3,CW,Dark,0.204942428,0.070226241,0.352534562,0.591205838,0.51921757,0.473061083
B3,LC,Dark,0.230705377,0.082073614,0.259848015,0.60918114,0.559259793,0.493774757
B3,LW,Dark,0.242268694,0.074090759,0.220843672,0.562344911,0.524710505,0.433221873
B4,CC,Dark,0.265006676,0.069646367,0.254032258,0.643870965,0.618989652,0.55659824
B4,CW,Dark,0.252058994,0.057293304,0.298817206,0.555913977,0.496951217,0.454334677
B4,LC,Dark,0.245928127,0.082045485,0.320178449,0.660260809,0.569892471,0.523128426
B4,LW,Dark,0.223237322,0.104010818,0.205946074,0.517814154,0.528225806,0.530582323
B5,CC,Dark,0.275492987,0.068165948,0.188667231,0.543081493,0.538822214,0.512096768
B5,CW,Dark,0.147781834,0.094541683,0.25547235,0.578773041,0.523236738,0.458116543
B5,LC,Dark,0.2163384,0.094813271,0.342165901,0.676651303,0.627240143,0.541008918
B5,LW,Dark,0.132406055,0.120304617,0.270211074,0.611111105,0.58036708,0.504382888
B1,CC,Light,0.149641094,0.093506171,0.28701037,0.708957371,0.628908189,0.461660498
B1,CW,Light,0.127313749,0.139996573,0.275633641,0.693836406,0.63817204,0.563709676
B1,LC,Light,0.089975198,0.150469765,0.372208436,0.742467211,0.644502961,0.550133024
B1,LW,Light,0.089543641,0.157368283,0.309313216,0.629682625,0.582916857,0.489364186
B2,CC,Light,0.113690074,0.123579621,0.385028949,0.768610421,0.695340502,0.571892214
B2,CW,Light,0.123132126,0.125026517,0.298675116,0.734158982,0.633919848,0.55498535
B2,LC,Light,0.120959553,0.151749968,0.286535763,0.691514729,0.656618021,0.562890714
B2,LW,Light,0.097590676,0.156644086,0.309229391,0.666935479,0.606750914,0.518901207
B3,CC,Light,0.199086488,0.088040587,0.357089274,0.743623406,0.715437787,0.662258062
B3,CW,Light,0.111553781,0.137897412,0.338639551,0.712342212,0.686699945,0.604288856
B3,LC,Light,0.103446161,0.147870605,0.381226685,0.721417604,0.630846775,0.523253517
B3,LW,Light,0.106864218,0.147832298,0.351028004,0.708082238,0.652796842,0.55945436
B4,CC,Light,0.125825757,0.132070552,0.369855395,0.753893213,0.686995968,0.600050403
B4,CW,Light,0.142144241,0.099370895,0.345967745,0.763225805,0.663306449,0.566045606
B4,LC,Light,0.138319865,0.142062184,0.228652752,0.657020874,0.629468175,0.569444441
B4,LW,Light,0.099164422,0.167544332,0.31391505,0.643608493,0.608963672,0.543996431
B5,CC,Light,0.132104718,0.125133731,0.339490116,0.711498435,0.641474656,0.584331795
B5,CW,Light,0.118749369,0.129252584,0.336275106,0.782562387,0.693260365,0.617823945
B5,LC,Light,0.090798924,0.160607561,0.358457403,0.694892472,0.65468325,0.581561587
B5,LW,Light,0.107231993,0.13716347,0.236815156,0.671402967,0.621836235,0.527397264
