ID,LST,LSTindex
B1_CC,725.4623,0.252797256
B1_CW,728.4629,0.481501524
B1_LC,731.7762,0.734039634
B1_LW,725.3466,0.243978659
B2_CC,723.5401,0.10628811
B2_CW,724.702,0.194847561
B2_LC,729.6303,0.570480183
B2_LW,727.1366,0.380411585
B3_CC,722.1456,0
B3_CW,725.2445,0.236196646
B3_LC,729.9115,0.59191311
B3_LW,731.7709,0.733635671
B4_CC,NA,NA
B4_CW,725.0072,0.218109756
B4_LC,731.2415,0.693285061
B4_LW,730.5439,0.640114329
B5_CC,725.2312,0.235182927
B5_CW,723.5761,0.109032012
B5_LC,735.2656,1
B5_LW,729.7974,0.583216463
