Dir,Plot,Tmp,Wtr,Treat,File
Entire_Plot/Resonon,B1,C,C,CC,B1_C.txt
Entire_Plot/Resonon,B1,L,C,LC,B1_L.txt
Entire_Plot/Resonon,B1,L,W,LW,B1_LW.txt
Entire_Plot/Resonon,B1,C,W,CW,B1_W.txt
Entire_Plot/Resonon,B2,C,C,CC,B2_C.txt
Entire_Plot/Resonon,B2,L,C,LC,B2_L.txt
Entire_Plot/Resonon,B2,L,W,LW,B2_LW.txt
Entire_Plot/Resonon,B2,C,W,CW,B2_W.txt
Entire_Plot/Resonon,B3,C,C,CC,B3_C.txt
Entire_Plot/Resonon,B3,L,C,LC,B3_L.txt
Entire_Plot/Resonon,B3,L,W,LW,B3_LW.txt
Entire_Plot/Resonon,B3,C,W,CW,B3_W.txt
Entire_Plot/Resonon,B4,C,C,CC,B4_C.txt
Entire_Plot/Resonon,B4,L,C,LC,B4_L.txt
Entire_Plot/Resonon,B4,L,W,LW,B4_LW.txt
Entire_Plot/Resonon,B4,C,W,CW,B4_W.txt
Entire_Plot/Resonon,B5,C,C,CC,B5_C.txt
Entire_Plot/Resonon,B5,L,C,LC,B5_L.txt
Entire_Plot/Resonon,B5,L,W,LW,B5_LW.txt
Entire_Plot/Resonon,B5,C,W,CW,B5_W.txt
